tag_id,name,category,count
470575,1girl,0,3015777
212816,solo,0,2483745
13197,long_hair,0,2111456
8601,breasts,0,1539975
3389,blush,0,1428057
1815,smile,0,1301354
469576,looking_at_viewer,0,1278562
15080,short_hair,0,1142798
11906,open_mouth,0,1078681
566835,multiple_girls,0,882925
10959,blue_eyes,0,877345
87788,blonde_hair,0,818305
16867,brown_hair,0,784698
429,skirt,0,777196
16751,bangs,0,754229
403247,large_breasts,0,730108
13200,black_hair,0,679198
1882,thighhighs,0,668916
2373,hat,0,661724
29,touhou,3,658813
412368,simple_background,0,654400
8526,red_eyes,0,639489
380350,hair_ornament,0,622964
5735,gloves,0,597274
464575,ribbon,0,588507
2241,dress,0,568047
1821,2girls,0,565503
1304828,eyebrows_visible_through_hair,0,564801
540830,1boy,0,552918
4563,bow,0,547574
12590,shirt,0,536558
515193,white_background,0,531106
9294,navel,0,519259
383159,long_sleeves,0,516237
16578,brown_eyes,0,493775
1709,twintails,0,476089
464906,underwear,0,462432
4607,cleavage,0,462046
16509,school_uniform,0,454501
667868,medium_breasts,0,443496
6126,animal_ears,0,433204
12289,sitting,0,432070
376054,bare_shoulders,0,425419
417660,very_long_hair,0,421179
10960,green_eyes,0,419645
375387,holding,0,394538
391,panties,0,393621
16613,jewelry,0,393001
1681,monochrome,0,390556
10953,blue_hair,0,383676
658573,hair_between_eyes,0,375290
1231860,kantai_collection,3,374290
15654,purple_eyes,0,351507
464561,hair_ribbon,0,340246
15675,standing,0,338762
613194,black_legwear,0,338587
63,comic,0,336948
465619,closed_eyes,0,325455
466499,collarbone,0,323857
444,swimsuit,0,323246
11449,weapon,0,316124
513837,greyscale,0,307292
2355,ponytail,0,306610
572080,closed_mouth,0,300873
16442,purple_hair,0,300597
8101,ass,0,298110
15674,tail,0,297875
89189,yellow_eyes,0,295826
11429,pink_hair,0,291223
15425,silver_hair,0,283901
608813,full_body,0,283296
374844,hair_bow,0,279671
464559,flower,0,274961
4334,braid,0,272947
3843,jacket,0,265740
3522,ahoge,0,264253
384553,:d,0,262864
2363,pantyhose,0,248599
2376,hairband,0,239271
547463,upper_body,0,237430
472154,short_sleeves,0,237227
6539,bikini,0,236936
2750,heart,0,236437
5827,boots,0,236363
5403,red_hair,0,230209
383282,pleated_skirt,0,228670
465265,small_breasts,0,217853
