NFResNet50V1:
06: {'thres': 0.3161, 'F1': 0.5373, 'F2': 0.5373, 'MCC': 0.5326, 'A': 0.9908, 'R': 0.5373, 'P': 0.5373}
07: {'thres': 0.3224, 'F1': 0.5405, 'F2': 0.5405, 'MCC': 0.5359, 'A': 0.9909, 'R': 0.5405, 'P': 0.5405}
08: {'thres': 0.3271, 'F1': 0.5413, 'F2': 0.5413, 'MCC': 0.5367, 'A': 0.9909, 'R': 0.5413, 'P': 0.5413}
09: {'thres': 0.3270, 'F1': 0.5483, 'F2': 0.5483, 'MCC': 0.5438, 'A': 0.9910, 'R': 0.5483, 'P': 0.5484}
10: {'thres': 0.3251, 'F1': 0.5498, 'F2': 0.5498, 'MCC': 0.5453, 'A': 0.9911, 'R': 0.5498, 'P': 0.5498}
11: {'thres': 0.3303, 'F1': 0.5538, 'F2': 0.5538, 'MCC': 0.5493, 'A': 0.9911, 'R': 0.5538, 'P': 0.5538}
12: {'thres': 0.3290, 'F1': 0.5568, 'F2': 0.5567, 'MCC': 0.5523, 'A': 0.9912, 'R': 0.5567, 'P': 0.5568}
13: {'thres': 0.3292, 'F1': 0.5584, 'F2': 0.5584, 'MCC': 0.5540, 'A': 0.9912, 'R': 0.5583, 'P': 0.5585}
14: {'thres': 0.3285, 'F1': 0.5627, 'F2': 0.5627, 'MCC': 0.5583, 'A': 0.9913, 'R': 0.5627, 'P': 0.5627}
15: {'thres': 0.3305, 'F1': 0.5631, 'F2': 0.5631, 'MCC': 0.5587, 'A': 0.9913, 'R': 0.5631, 'P': 0.5631}
17: {'thres': 0.3345, 'F1': 0.5772, 'F2': 0.5771, 'MCC': 0.5729, 'A': 0.9916, 'R': 0.5771, 'P': 0.5772}
20: {'thres': 0.3357, 'F1': 0.5799, 'F2': 0.5798, 'MCC': 0.5757, 'A': 0.9917, 'R': 0.5798, 'P': 0.5800}
26: {'thres': 0.3392, 'F1': 0.5807, 'F2': 0.5807, 'MCC': 0.5765, 'A': 0.9917, 'R': 0.5806, 'P': 0.5808}
30: {'thres': 0.3367, 'F1': 0.5828, 'F2': 0.5827, 'MCC': 0.5786, 'A': 0.9917, 'R': 0.5827, 'P': 0.5829}
36: {'thres': 0.3298, 'F1': 0.5761, 'F2': 0.5760, 'MCC': 0.5718, 'A': 0.9916, 'R': 0.5760, 'P': 0.5762}
42: {'thres': 0.3396, 'F1': 0.5891, 'F2': 0.5891, 'MCC': 0.5850, 'A': 0.9918, 'R': 0.5890, 'P': 0.5892}
50: {'thres': 0.3395, 'F1': 0.5923, 'F2': 0.5922, 'MCC': 0.5882, 'A': 0.9919, 'R': 0.5922, 'P': 0.5924}

NFNetL1V1:
04: {'thres': 0.3212, 'F1': 0.5225, 'F2': 0.5224, 'MCC': 0.5177, 'A': 0.9905, 'R': 0.5223, 'P': 0.5226}
08: {'thres': 0.3280, 'F1': 0.5540, 'F2': 0.5540, 'MCC': 0.5495, 'A': 0.9911, 'R': 0.5539, 'P': 0.5541}
12: {'thres': 0.3308, 'F1': 0.5669, 'F2': 0.5669, 'MCC': 0.5625, 'A': 0.9914, 'R': 0.5669, 'P': 0.5669}
15: {'thres': 0.3385, 'F1': 0.5721, 'F2': 0.5720, 'MCC': 0.5678, 'A': 0.9915, 'R': 0.5720, 'P': 0.5722}
19: {'thres': 0.3358, 'F1': 0.5806, 'F2': 0.5805, 'MCC': 0.5764, 'A': 0.9917, 'R': 0.5805, 'P': 0.5806}
24: {'thres': 0.3400, 'F1': 0.5873, 'F2': 0.5873, 'MCC': 0.5832, 'A': 0.9918, 'R': 0.5873, 'P': 0.5873}
30: {'thres': 0.3431, 'F1': 0.5935, 'F2': 0.5935, 'MCC': 0.5895, 'A': 0.9919, 'R': 0.5934, 'P': 0.5936}
33: {'thres': 0.3359, 'F1': 0.5956, 'F2': 0.5956, 'MCC': 0.5916, 'A': 0.9920, 'R': 0.5956, 'P': 0.5956}
