tag_id,name,category,count
464808,holding_hands,0,57084
600177,detached_collar,0,56816
460802,rose,0,56657
464546,chain,0,56546
465719,muscular,0,56500
1915,umbrella,0,56408
513475,multiple_views,0,55945
377844,siblings,0,55814
13176,shadow,0,55792
443395,thigh_strap,0,55776
592923,mahou_shoujo_madoka_magica,3,55715
565513,floating_hair,0,55550
377140,blue_dress,0,55128
51528,fox_tail,0,55079
458933,facial_hair,0,54954
1723,parody,0,54917
395400,buttons,0,54596
395448,thigh_boots,0,54578
258190,beret,0,54478
464534,bird,0,54411
503552,red_skirt,0,54197
420531,nose_blush,0,54175
400120,traditional_media,0,53949
613623,striped_legwear,0,53531
394222,arm_support,0,53421
10701,animal,0,53378
374938,frown,0,53354
11325,ocean,0,53297
600250,hair_tubes,0,53059
484666,transparent_background,0,52916
4009,turtleneck,0,52714
374620,black_bikini,0,52569
2770,pantyshot,0,52170
144876,embarrassed,0,51982
479563,low_twintails,0,51923
8091,drill_hair,0,51763
546821,halterneck,0,51698
653206,one_side_up,0,51495
541727,wariza,0,51386
3449,heterochromia,0,51259
469652,garter_straps,0,51138
8714,watermark,0,50890
10231,mouth_hold,0,50867
4244,leaf,0,50831
457597,swept_bangs,0,50797
418899,plaid_skirt,0,50741
425206,magical_girl,0,50532
499624,blush_stickers,0,50447
377124,back,0,50274
1528497,genshin_impact,3,50208
444002,from_above,0,50174
28200,toes,0,50038
529256,fake_animal_ears,0,49981
398263,eyebrows,0,49773
1094664,colored_skin,0,49752
1328533,ass_visible_through_thighs,0,49579
687973,girls_und_panzer,3,49454
2091,bandages,0,49408
4207,eating,0,49408
447393,on_side,0,49197
446950,fangs,0,49191
2904,chair,0,49160
580545,blue_background,0,48672
635352,love_live!,3,48667
3988,scar,0,48345
2270,eyepatch,0,48247
3920,obi,0,48226
426936,white_bikini,0,47897
1310137,remodel_(kantai_collection),0,47819
2799,beach,0,47765
452032,looking_away,0,47635
375404,chinese_clothes,0,47546
13133,fire_emblem,3,47468
574407,wavy_mouth,0,47325
421663,wavy_hair,0,47295
481508,facial_mark,0,46940
2726,moon,0,46863
436576,short_dress,0,46852
475775,arms_behind_back,0,46801
375176,crossed_arms,0,46793
403649,thigh_gap,0,46774
647551,flying_sweatdrops,0,46659
1976,cover,0,46604
419938,expressionless,0,46493
436054,highleg,0,46423
553142,blurry_background,0,46380
490999,on_bed,0,45908
454933,hair_bun,0,45710
460404,stuffed_toy,0,45685
1345229,white_headwear,0,45482
1303252,brown_footwear,0,45313
2993,phone,0,44383
546609,blue_bow,0,44378
3986,sandals,0,44349
698161,holding_sword,0,44230
2716,cat,0,44116
